日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-21,BK0478,有色金属,14396.07,-0.30000000000000004,-156740048,-2.16,-44260784,-0.61,-112479264,-1.55,-87678064,-1.21,244347984,3.37
2023-07-20,BK0478,有色金属,14440.03,-0.71,193652112,1.87,149420800,1.44,44231312,0.43,-255058144,-2.46,60035968,0.58
2023-07-19,BK0478,有色金属,14543.12,-0.43,-102676880,-1.22,-60198416,-0.72,-42478464,-0.5,-54179904,-0.64,154775248,1.84
2023-07-17,BK0478,有色金属,14509.52,-0.41,-667610192,-6.82,-322702752,-3.3,-344907440,-3.52,-2521376,-0.03,669728048,6.84
2023-07-14,BK0478,有色金属,14568.91,-0.72,-539114432,-4.14,-278428656,-2.14,-260685776,-2.0,-88687776,-0.68,629603872,4.83
2023-07-13,BK0478,有色金属,14675.14,0.97,202460288,1.35,160870768,1.07,41589520,0.28,-141683456,-0.95,-60281600,-0.4
2023-07-12,BK0478,有色金属,14534.85,-0.47,-194511808,-1.73,12966336,0.12,-207478144,-1.84,-195844336,-1.74,388845920,3.45
2023-07-11,BK0478,有色金属,14603.27,-0.04,-477854112,-4.2,-155427152,-1.36,-322426960,-2.83,-210378768,-1.85,686050576,6.02
2023-07-10,BK0478,有色金属,14608.89,0.03,-567205376,-4.11,-435400480,-3.15,-131804896,-0.95,112287744,0.81,459022224,3.33
2023-07-07,BK0478,有色金属,14604.48,-0.1,-153761680,-0.8300000000000001,135118448,0.73,-288880128,-1.57,-80114688,-0.43,233516544,1.27
2023-07-06,BK0478,有色金属,14618.63,-0.65,-986561216,-5.63,-713631360,-4.08,-272929856,-1.56,240183040,1.37,745859328,4.26
2023-07-05,BK0478,有色金属,14714.68,2.19,851749456,4.3,567390032,2.86,284359424,1.43,-173309696,-0.87,-678199040,-3.42
2023-07-04,BK0478,有色金属,14398.84,0.91,-344275488,-2.52,-13018288,-0.1,-331257200,-2.42,193531264,1.41,150888704,1.1
2023-07-03,BK0478,有色金属,14269.2,1.29,108042976,0.95,185629952,1.62,-77586976,-0.68,-120114784,-1.05,11829968,0.1
2023-06-30,BK0478,有色金属,14087.87,1.43,-114935872,-1.3,40222432,0.45,-155158304,-1.75,-16047760,-0.18,130676800,1.48
2023-06-29,BK0478,有色金属,13889.61,0.41,-251896832,-3.59,-74005984,-1.05,-177890848,-2.53,-109558128,-1.56,361581440,5.15
2023-06-28,BK0478,有色金属,13832.8,0.04,-243971632,-3.55,-68543808,-1.0,-175427824,-2.55,63474752,0.92,180937504,2.63
2023-06-27,BK0478,有色金属,13827.74,2.72,240030512,2.73,226956752,2.58,13073760,0.15,-85079440,-0.97,-154723616,-1.76
2023-06-26,BK0478,有色金属,13461.22,-1.25,-453312064,-6.22,-214512704,-2.95,-238799360,-3.28,57311152,0.79,396025840,5.44
2023-06-21,BK0478,有色金属,13632.08,-1.18,-252419328,-3.42,-152450032,-2.06,-99969296,-1.35,96504768,1.31,155924960,2.11
2023-06-20,BK0478,有色金属,13795.46,-0.56,-322936528,-4.3,-273252544,-3.64,-49683984,-0.66,134957792,1.8,188091648,2.51
2023-06-19,BK0478,有色金属,13873.34,-1.14,-623877408,-6.8,-368392432,-4.02,-255484976,-2.78,173545648,1.89,450065456,4.91
2023-06-16,BK0478,有色金属,14032.67,0.43,141178256,1.63,112970432,1.31,28207824,0.33,-26448624,-0.31,-115867808,-1.34
