日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-10,BK0734,珠宝首饰,425.52,-0.09,-16407383,-2.73,-8953657,-1.49,-7453726,-1.24,5698785,0.95,10708592,1.78
2023-08-09,BK0734,珠宝首饰,425.92,-1.04,-73944236,-10.12,-39549763,-5.41,-34394473,-4.71,46447583,6.36,27496656,3.76
2023-08-08,BK0734,珠宝首饰,430.4,0.96,-11401454,-1.26,-5640374,-0.62,-5761080,-0.63,14284368,1.57,-2882928,-0.32
2023-08-07,BK0734,珠宝首饰,426.3,-0.75,-90838200,-10.07,-19233806,-2.13,-71604394,-7.94,24664299,2.73,66173904,7.34
2023-08-04,BK0734,珠宝首饰,429.52,-1.08,-78014283,-8.37,-21099387,-2.26,-56914896,-6.1,-5563088,-0.6000000000000001,83577360,8.96
2023-08-03,BK0734,珠宝首饰,434.23,-0.5700000000000001,-33955113,-4.28,-12195042,-1.54,-21760071,-2.74,6255714,0.79,27699408,3.49
2023-08-02,BK0734,珠宝首饰,436.7,-1.08,-22684796,-2.79,-4373433,-0.54,-18311363,-2.25,3899080,0.48,18785712,2.31
2023-08-01,BK0734,珠宝首饰,441.46,0.48,-28519937,-2.24,-1573352,-0.12,-26946585,-2.11,14199408,1.11,14320528,1.12
2023-07-31,BK0734,珠宝首饰,439.37,1.33,-4658790,-0.39,22599962,1.92,-27258752,-2.31,-53656112,-4.55,58314896,4.94
2023-07-28,BK0734,珠宝首饰,433.59,0.31,-60825594,-6.84,-21024463,-2.36,-39801131,-4.47,-2702368,-0.30000000000000004,63527968,7.14
2023-07-27,BK0734,珠宝首饰,432.25,-0.38,-31675948,-3.91,-7170871,-0.89,-24505077,-3.03,19536000,2.41,12139952,1.5
2023-07-26,BK0734,珠宝首饰,433.9,-0.12,-29650196,-3.38,-10964275,-1.25,-18685921,-2.13,6009776,0.68,23640416,2.69
2023-07-24,BK0734,珠宝首饰,434.1,-1.13,-21577305,-2.68,-6464562,-0.8,-15112743,-1.88,-15591846,-1.94,37169152,4.62
2023-07-21,BK0734,珠宝首饰,439.04,-0.44,-2316649,-0.2,-13988079,-1.2,11671430,1.0,-19374560,-1.67,21691200,1.87
2023-07-20,BK0734,珠宝首饰,441.0,-0.68,-73539136,-6.09,-18625479,-1.54,-54913657,-4.55,6643264,0.55,66895856,5.54
2023-07-19,BK0734,珠宝首饰,444.03,2.13,2125309,0.15,-12365425,-0.86,14490734,1.01,-12900320,-0.9,10775024,0.75
2023-07-17,BK0734,珠宝首饰,436.66,-0.22,-37159565,-3.26,-35996040,-3.16,-1163525,-0.1,-6693776,-0.59,43853344,3.85
2023-07-14,BK0734,珠宝首饰,437.63,-0.41,23098159,1.55,17056735,1.14,6041424,0.4,-43122384,-2.89,20024224,1.34
2023-07-13,BK0734,珠宝首饰,439.45,0.8200000000000001,48257571,3.72,18122147,1.4,30135424,2.32,7386208,0.5700000000000001,-55643760,-4.29
2023-07-12,BK0734,珠宝首饰,435.87,0.08,-4458207,-0.52,-15941765,-1.85,11483558,1.33,14754816,1.71,-10296608,-1.19
2023-07-11,BK0734,珠宝首饰,435.51,1.0,2548678,0.28,3664644,0.41,-1115966,-0.12,-16200528,-1.8,13651856,1.52
2023-07-10,BK0734,珠宝首饰,431.19,0.30000000000000004,-11420815,-1.44,-16733315,-2.11,5312500,0.67,6097049,0.77,5323776,0.67
2023-07-07,BK0734,珠宝首饰,429.9,-0.32,-15078667,-1.71,-11493934,-1.3,-3584733,-0.41,23559872,2.67,-8481200,-0.96
2023-07-06,BK0734,珠宝首饰,431.29,-1.15,-112880833,-10.71,-58585045,-5.5600000000000005,-54295788,-5.15,25645056,2.43,87235760,8.27
2023-07-05,BK0734,珠宝首饰,436.31,0.01,3965095,0.5,-2743484,-0.35000000000000003,6708579,0.84,-948620,-0.12,-3016464,-0.38
2023-07-04,BK0734,珠宝首饰,436.26,0.03,-44012996,-4.35,14988307,1.48,-59001303,-5.83,-4168720,-0.41,48181712,4.76
2023-07-03,BK0734,珠宝首饰,436.14,0.66,32476833,2.76,22581558,1.92,9895275,0.84,-16517952,-1.4,-15958880,-1.36
2023-06-30,BK0734,珠宝首饰,433.28,1.94,21303402,2.31,16287408,1.76,5015994,0.54,-35393712,-3.84,14090320,1.53
2023-06-29,BK0734,珠宝首饰,425.03,1.11,-26991026,-2.91,-16204039,-1.75,-10786987,-1.16,30354848,3.28,-3363808,-0.36
2023-06-28,BK0734,珠宝首饰,420.38,0.62,-25623812,-2.17,-12150497,-1.03,-13473315,-1.14,6054032,0.51,19569776,1.65
2023-06-27,BK0734,珠宝首饰,417.81,3.69,-5819229,-0.47,16652363,1.35,-22471592,-1.82,18163504,1.47,-12344288,-1.0
2023-06-26,BK0734,珠宝首饰,402.95,-1.38,-17793001,-2.07,-3532901,-0.41,-14260100,-1.66,-21754657,-2.53,39547664,4.6
2023-06-21,BK0734,珠宝首饰,408.59,-1.4,-54239275,-6.45,-20285604,-2.41,-33953671,-4.04,20376854,2.42,33862416,4.03
2023-06-20,BK0734,珠宝首饰,414.4,-0.24,-74257132,-7.31,-14792209,-1.46,-59464923,-5.86,64215744,6.32,10041392,0.99
2023-06-19,BK0734,珠宝首饰,415.38,-0.56,-54993843,-5.96,-4594578,-0.5,-50399265,-5.46,17011849,1.84,37981984,4.12
2023-06-16,BK0734,珠宝首饰,417.74,0.27,-29788133,-3.76,-8100008,-1.02,-21688125,-2.74,11436609,1.44,18351520,2.32
