日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-24,BK0485,旅游酒店,15455.62,-0.2,-418849872,-7.33,-245030768,-4.29,-173819104,-3.04,106102816,1.86,312747056,5.47
2023-07-21,BK0485,旅游酒店,15486.7,0.53,-151355024,-1.88,-105062032,-1.31,-46292992,-0.58,63725616,0.79,87629408,1.09
2023-07-20,BK0485,旅游酒店,15405.29,0.7000000000000001,470800272,7.21,477994304,7.32,-7194032,-0.11,-172227696,-2.64,-298572576,-4.57
2023-07-19,BK0485,旅游酒店,15298.53,-0.14,-139354284,-4.01,7187988,0.21,-146542272,-4.22,-20638672,-0.59,159992960,4.61
2023-07-17,BK0485,旅游酒店,15431.36,-0.39,-342587387,-7.46,-193667195,-4.22,-148920192,-3.24,32125056,0.7000000000000001,310462336,6.76
2023-07-14,BK0485,旅游酒店,15491.11,-1.33,-604542464,-10.58,-316175776,-5.53,-288366688,-5.05,26996240,0.47,577546240,10.11
2023-07-13,BK0485,旅游酒店,15700.7,-0.63,-180480832,-2.38,21286992,0.28,-201767824,-2.66,66580624,0.88,113900208,1.5
2023-07-12,BK0485,旅游酒店,15800.13,0.21,71923808,1.14,42247184,0.67,29676624,0.47,-7039872,-0.11,-64883920,-1.03
2023-07-11,BK0485,旅游酒店,15767.6,-0.43,-472484416,-8.01,-281279520,-4.77,-191204896,-3.24,58336752,0.99,414147680,7.02
2023-07-10,BK0485,旅游酒店,15836.42,1.46,1101600960,10.11,926270944,8.5,175330016,1.61,-416432864,-3.82,-685168096,-6.29
2023-07-07,BK0485,旅游酒店,15607.97,0.0,95323360,1.86,29271936,0.5700000000000001,66051424,1.29,-8270480,-0.16,-87052864,-1.7000000000000002
2023-07-06,BK0485,旅游酒店,15608.71,-0.67,-380471248,-6.85,-262713584,-4.73,-117757664,-2.12,70186720,1.26,310284528,5.59
2023-07-05,BK0485,旅游酒店,15713.9,-1.2,-387310592,-7.29,-241159552,-4.54,-146151040,-2.75,25782224,0.49,361528352,6.8100000000000005
2023-07-04,BK0485,旅游酒店,15904.14,0.48,-262566464,-3.74,-143422880,-2.04,-119143584,-1.7000000000000002,-20519440,-0.29,283085904,4.03
2023-07-03,BK0485,旅游酒店,15828.32,3.95,441697344,4.03,233085168,2.13,208612176,1.9,194565712,1.77,-636263056,-5.8
2023-06-30,BK0485,旅游酒店,15226.58,0.88,236833808,3.87,204506096,3.34,32327712,0.53,-180052384,-2.94,-56781424,-0.93
2023-06-29,BK0485,旅游酒店,15093.18,-1.22,-602442304,-8.2,-243619344,-3.32,-358822960,-4.89,20983584,0.29,581458736,7.92
2023-06-28,BK0485,旅游酒店,15280.03,-1.27,-378045680,-5.91,-172824720,-2.7,-205220960,-3.21,30559952,0.48,347485712,5.43
2023-06-27,BK0485,旅游酒店,15476.04,4.16,409786224,5.18,432944000,5.48,-23157776,-0.29,-247620208,-3.13,-162166032,-2.05
2023-06-26,BK0485,旅游酒店,14858.52,-1.81,-328157072,-5.46,-88498512,-1.47,-239658560,-3.99,-124092000,-2.07,452249056,7.53
2023-06-21,BK0485,旅游酒店,15131.76,-1.57,-478880208,-7.81,-320209216,-5.22,-158670992,-2.59,44538784,0.73,434341440,7.09
2023-06-20,BK0485,旅游酒店,15372.85,-2.08,-636582432,-11.18,-192323008,-3.38,-444259424,-7.8,-97702176,-1.72,734284592,12.9
2023-06-19,BK0485,旅游酒店,15698.88,-1.21,-622413664,-9.4,-337820032,-5.1,-284593632,-4.3,137163680,2.07,485249984,7.32
2023-06-16,BK0485,旅游酒店,15890.97,0.2,-300988880,-3.64,-67742224,-0.8200000000000001,-233246656,-2.8200000000000003,219310960,2.65,81677920,0.99
