成交时间,成交价,涨跌幅,价格变动,成交量(手),成交额(元),性质
15:00:03,29.49,-0.20%,-0.02,2543,7501076,卖盘
14:57:03,29.51,-0.14%,+0.01,227,669877,买盘
14:57:00,29.5,-0.17%,-0.01,3,8850,卖盘
14:56:57,29.51,-0.14%,+0.01,7,20657,买盘
14:56:54,29.5,-0.17%,--,7,20650,买盘
14:56:51,29.5,-0.17%,-0.02,42,123900,卖盘
14:56:48,29.52,-0.10%,+0.02,30,88560,买盘
14:56:45,29.5,-0.17%,--,35,103250,卖盘
14:56:42,29.5,-0.17%,--,2,5900,卖盘
14:56:39,29.5,-0.17%,--,43,126850,买盘
14:56:36,29.5,-0.17%,+0.02,61,179950,买盘
14:56:33,29.48,-0.24%,--,12,35376,卖盘
14:56:30,29.48,-0.24%,-0.02,34,100232,卖盘
14:56:27,29.5,-0.17%,--,4,11800,卖盘
14:56:24,29.5,-0.17%,+0.01,125,368750,买盘
14:56:21,29.49,-0.20%,--,69,203481,买盘
14:56:18,29.49,-0.20%,-0.03,43,126807,卖盘
14:56:15,29.52,-0.10%,+0.02,53,156456,买盘
14:56:12,29.5,-0.17%,--,42,123900,卖盘
14:56:09,29.5,-0.17%,-0.01,14,41300,卖盘
14:56:06,29.51,-0.14%,--,52,153452,卖盘
14:56:03,29.51,-0.14%,--,6,17706,中性盘
14:56:03,29.51,-0.14%,--,6,17706,卖盘
14:56:00,29.51,-0.14%,-0.01,8,23608,中性盘
14:55:57,29.52,-0.10%,--,11,32472,买盘
14:55:54,29.52,-0.10%,+0.02,27,79704,买盘
14:55:51,29.5,-0.17%,-0.02,54,159300,卖盘
14:55:48,29.52,-0.10%,+0.03,18,53136,买盘
14:55:45,29.49,-0.20%,-0.02,75,221175,卖盘
14:55:42,29.51,-0.14%,+0.01,2,5902,中性盘
14:55:36,29.5,-0.17%,+0.02,54,159300,买盘
14:55:30,29.48,-0.24%,-0.01,66,194568,卖盘
14:55:27,29.49,-0.20%,-0.01,269,793281,买盘
14:55:24,29.5,-0.17%,--,23,67850,买盘
14:55:21,29.5,-0.17%,-0.01,84,247800,卖盘
14:55:18,29.51,-0.14%,--,4,11804,买盘
14:55:15,29.51,-0.14%,-0.01,5,14755,中性盘
14:55:12,29.52,-0.10%,+0.01,15,44280,买盘
14:55:09,29.51,-0.14%,--,7,20657,卖盘
14:55:06,29.51,-0.14%,-0.01,44,129844,卖盘
14:55:03,29.52,-0.10%,--,2,5904,买盘
14:55:00,29.52,-0.10%,-0.01,101,298152,卖盘
14:54:57,29.53,-0.07%,--,8,23624,卖盘
14:54:54,29.53,-0.07%,+0.02,2,5906,中性盘
14:54:51,29.51,-0.14%,-0.02,49,144599,卖盘
14:54:48,29.53,-0.07%,--,17,50201,买盘
14:54:45,29.53,-0.07%,+0.02,29,85637,买盘
14:54:42,29.51,-0.14%,-0.02,26,76726,卖盘
14:54:39,29.53,-0.07%,+0.01,32,94496,买盘
14:54:36,29.52,-0.10%,-0.01,17,50184,卖盘
14:54:33,29.53,-0.07%,+0.01,2,5906,买盘
14:54:30,29.52,-0.10%,-0.01,12,35424,卖盘
14:54:27,29.53,-0.07%,--,16,47248,卖盘
14:54:24,29.53,-0.07%,-0.01,6,17718,卖盘
14:54:21,29.54,-0.03%,--,44,129976,买盘
14:54:15,29.54,-0.03%,-0.01,142,419468,卖盘
14:54:12,29.55,0.00%,+0.01,15,44325,买盘
14:54:09,29.54,-0.03%,-0.02,286,844844,卖盘
14:54:06,29.56,+0.03%,+0.01,38,112328,买盘
14:54:03,29.55,0.00%,--,22,65010,买盘
14:54:00,29.55,0.00%,--,30,88650,卖盘
14:53:57,29.55,0.00%,-0.01,30,88650,卖盘
14:53:54,29.56,+0.03%,+0.01,1,2956,买盘
14:53:51,29.55,0.00%,-0.01,16,47280,卖盘
14:53:48,29.56,+0.03%,+0.01,5,14780,买盘
14:53:45,29.55,0.00%,--,41,121155,卖盘
14:53:42,29.55,0.00%,--,18,53190,卖盘
14:53:39,29.55,0.00%,+0.01,32,94560,买盘
14:53:36,29.54,-0.03%,-0.01,3,8862,卖盘
14:53:33,29.55,0.00%,--,26,76830,买盘
14:53:30,29.55,0.00%,+0.01,5,14775,买盘
14:53:27,29.54,-0.03%,--,23,67942,卖盘
14:53:24,29.54,-0.03%,--,54,159516,买盘
14:53:21,29.54,-0.03%,--,5,14770,买盘
14:53:18,29.54,-0.03%,+0.02,43,127022,买盘
14:53:15,29.52,-0.10%,-0.01,5,14760,卖盘
14:53:12,29.53,-0.07%,--,1,2953,卖盘
14:53:09,29.53,-0.07%,-0.01,4,11812,买盘
14:53:06,29.54,-0.03%,-0.01,34,102208,中性盘
14:53:06,29.54,-0.03%,+0.02,34,102208,买盘
14:53:03,29.52,-0.10%,-0.01,127,374904,卖盘
14:53:00,29.53,-0.07%,--,1,2953,买盘
14:52:54,29.53,-0.07%,+0.03,26,76778,买盘
14:52:51,29.5,-0.17%,-0.02,29,85550,卖盘
14:52:48,29.52,-0.10%,+0.02,14,41328,买盘
14:52:42,29.5,-0.17%,+0.03,44,129800,买盘
14:52:39,29.47,-0.27%,+0.03,151,444997,买盘
14:52:36,29.44,-0.37%,-0.01,11,32384,卖盘
14:52:33,29.45,-0.34%,+0.02,115,338675,买盘
14:52:30,29.43,-0.41%,--,32,94176,买盘
14:52:27,29.43,-0.41%,+0.01,121,356103,买盘
14:52:21,29.42,-0.44%,+0.01,29,85318,中性盘
14:52:18,29.41,-0.47%,--,10,29410,卖盘
14:52:15,29.41,-0.47%,--,1,2941,卖盘
14:52:12,29.41,-0.47%,--,2,5882,卖盘
14:52:09,29.41,-0.47%,+0.01,6,17646,买盘
14:52:06,29.4,-0.51%,--,80,235200,卖盘
14:52:06,29.4,-0.51%,--,80,235200,中性盘
14:52:06,29.4,-0.51%,-0.01,80,235200,卖盘
14:52:03,29.41,-0.47%,-0.03,4,11764,卖盘
14:52:00,29.44,-0.37%,+0.03,2,5888,买盘
14:51:57,29.41,-0.47%,--,11,32351,买盘
14:51:54,29.41,-0.47%,--,8,23528,中性盘
14:51:54,29.41,-0.47%,--,8,23528,卖盘
14:51:48,29.41,-0.47%,-0.04,18,52938,卖盘
14:51:45,29.45,-0.34%,+0.01,8,23560,买盘
14:51:42,29.44,-0.37%,+0.03,50,147200,买盘
14:51:39,29.41,-0.47%,-0.02,4,11764,卖盘
14:51:36,29.43,-0.41%,+0.02,10,29430,买盘
14:51:33,29.41,-0.47%,-0.03,105,308805,卖盘
14:51:30,29.44,-0.37%,-0.01,11,32384,中性盘
14:51:27,29.45,-0.34%,+0.02,13,38285,买盘
14:51:24,29.43,-0.41%,-0.01,5,14715,卖盘
14:51:21,29.44,-0.37%,+0.01,5,14720,中性盘
14:51:18,29.43,-0.41%,--,3,8829,卖盘
14:51:15,29.43,-0.41%,--,7,20601,卖盘
14:51:12,29.43,-0.41%,--,19,55917,买盘
14:51:09,29.43,-0.41%,-0.05,47,138321,卖盘
14:51:06,29.48,-0.24%,+0.04,84,247632,买盘
14:51:03,29.44,-0.37%,-0.02,25,73600,卖盘
14:51:00,29.46,-0.30%,-0.02,12,35352,卖盘
14:50:57,29.48,-0.24%,+0.02,65,191620,买盘
14:50:54,29.46,-0.30%,-0.01,6,17676,卖盘
14:50:51,29.47,-0.27%,-0.01,2,5894,卖盘
14:50:48,29.48,-0.24%,+0.01,119,350812,买盘
14:50:45,29.47,-0.27%,--,61,179767,中性盘
14:52:51,29.5,-0.17%,--,29,85550,卖盘
14:52:51,29.5,-0.17%,--,29,85550,中性盘
14:52:30,29.43,-0.41%,--,32,94176,卖盘
14:52:30,29.43,-0.41%,--,32,94176,中性盘
14:52:18,29.41,-0.47%,--,10,29410,中性盘
14:52:09,29.41,-0.47%,--,6,17646,卖盘
14:52:09,29.41,-0.47%,--,6,17646,中性盘
14:51:57,29.41,-0.47%,--,11,32351,卖盘
14:51:57,29.41,-0.47%,--,11,32351,中性盘
14:50:45,29.47,-0.27%,-0.01,61,179767,卖盘
14:50:42,29.48,-0.24%,-0.01,14,41272,卖盘
14:50:39,29.49,-0.20%,--,31,91419,卖盘
14:50:36,29.49,-0.20%,--,21,61929,卖盘
14:50:33,29.49,-0.20%,-0.01,168,495432,卖盘
14:50:30,29.5,-0.17%,--,26,76700,卖盘
14:50:24,29.5,-0.17%,--,22,64900,买盘
14:50:21,29.5,-0.17%,+0.01,100,295000,买盘
14:50:18,29.49,-0.20%,--,3,8847,卖盘
14:50:15,29.49,-0.20%,--,48,141552,卖盘
14:50:09,29.49,-0.20%,--,51,150399,买盘
14:50:06,29.49,-0.20%,+0.01,20,58980,买盘
14:50:03,29.48,-0.24%,--,6,17688,卖盘
14:50:00,29.48,-0.24%,-0.01,40,117920,卖盘
14:49:57,29.49,-0.20%,+0.01,15,44235,买盘
14:49:54,29.48,-0.24%,-0.01,10,29480,卖盘
14:49:51,29.49,-0.20%,--,2,5898,买盘
14:49:48,29.49,-0.20%,+0.01,9,26541,买盘
14:49:45,29.48,-0.24%,--,19,56012,中性盘
14:51:33,29.41,-0.47%,--,105,308805,中性盘
14:49:45,29.48,-0.24%,-0.01,19,56012,卖盘
14:49:42,29.49,-0.20%,+0.01,43,126807,买盘
14:49:39,29.48,-0.24%,+0.01,11,32428,买盘
14:49:33,29.47,-0.27%,--,1,2947,卖盘
14:49:30,29.47,-0.27%,--,4,11788,卖盘
14:49:27,29.47,-0.27%,--,11,32417,中性盘
14:51:09,29.43,-0.41%,--,47,138321,中性盘
14:50:42,29.48,-0.24%,-0.01,14,41272,中性盘
14:49:27,29.47,-0.27%,--,11,32417,买盘
14:49:24,29.47,-0.27%,--,6,17682,买盘
14:49:18,29.47,-0.27%,+0.01,19,55993,买盘
14:49:09,29.46,-0.30%,--,14,41244,卖盘
14:49:06,29.46,-0.30%,+0.01,29,85434,买盘
14:49:03,29.45,-0.34%,--,8,23560,卖盘
14:49:00,29.45,-0.34%,--,16,47120,卖盘
14:48:54,29.45,-0.34%,--,21,61845,卖盘
14:48:51,29.45,-0.34%,+0.01,18,53010,买盘
14:48:45,29.44,-0.37%,--,17,50048,卖盘
14:48:42,29.44,-0.37%,--,77,226688,卖盘
14:48:39,29.44,-0.37%,--,57,167808,卖盘
14:48:39,29.44,-0.37%,--,57,167808,中性盘
14:48:39,29.44,-0.37%,+0.01,57,167808,买盘
14:48:36,29.43,-0.41%,--,5,14715,卖盘
14:48:30,29.43,-0.41%,--,2,5886,买盘
14:48:24,29.43,-0.41%,--,2,5886,中性盘
14:48:21,29.43,-0.41%,+0.03,73,214839,买盘
14:48:18,29.4,-0.51%,--,18,52920,买盘
14:48:15,29.4,-0.51%,--,12,35280,买盘
14:48:15,29.4,-0.51%,--,12,35280,中性盘
14:49:09,29.46,-0.30%,--,14,41244,中性盘
14:49:06,29.46,-0.30%,--,29,85434,中性盘
14:49:00,29.45,-0.34%,--,16,47120,中性盘
14:48:45,29.44,-0.37%,--,17,50048,中性盘
14:48:15,29.4,-0.51%,+0.03,12,35280,买盘
14:48:12,29.37,-0.61%,+0.01,1,2937,卖盘
14:48:09,29.36,-0.64%,-0.01,164,481504,卖盘
14:48:06,29.37,-0.61%,+0.02,399,1171863,买盘
14:48:03,29.35,-0.68%,-0.02,8,23480,卖盘
14:48:00,29.37,-0.61%,+0.01,8,23496,买盘
14:47:57,29.36,-0.64%,-0.01,26,76336,卖盘
14:47:54,29.37,-0.61%,--,6,17622,卖盘
14:47:51,29.37,-0.61%,--,1,2937,卖盘
14:47:48,29.37,-0.61%,--,7,20559,卖盘
14:47:45,29.37,-0.61%,--,11,32307,卖盘
14:47:36,29.37,-0.61%,-0.02,61,179157,卖盘
14:47:33,29.39,-0.54%,--,11,32329,卖盘
14:47:30,29.39,-0.54%,--,14,41146,卖盘
14:47:24,29.39,-0.54%,-0.01,28,82292,卖盘
14:47:21,29.4,-0.51%,--,100,294000,卖盘
14:47:18,29.4,-0.51%,--,18,52920,卖盘
14:47:15,29.4,-0.51%,-0.01,9,26460,卖盘
14:47:12,29.41,-0.47%,+0.01,12,35292,买盘
14:47:09,29.4,-0.51%,--,2,5880,卖盘
14:47:06,29.4,-0.51%,-0.01,110,323400,卖盘
14:47:03,29.41,-0.47%,-0.01,1,2941,中性盘
14:47:03,29.41,-0.47%,-0.01,1,2941,卖盘
14:47:00,29.42,-0.44%,-0.01,6,17652,中性盘
14:46:57,29.43,-0.41%,-0.01,6,17658,中性盘
14:47:33,29.39,-0.54%,--,11,32329,买盘
14:47:33,29.39,-0.54%,--,11,32329,中性盘
14:47:15,29.4,-0.51%,--,9,26460,卖盘
14:47:15,29.4,-0.51%,--,9,26460,中性盘
14:47:06,29.4,-0.51%,--,110,323400,中性盘
14:46:57,29.43,-0.41%,--,6,17658,买盘
14:46:54,29.43,-0.41%,+0.01,10,29430,买盘
14:46:51,29.42,-0.44%,--,5,14710,中性盘
14:46:48,29.42,-0.44%,--,53,155926,卖盘
14:46:45,29.42,-0.44%,--,6,17652,卖盘
14:46:39,29.42,-0.44%,-0.02,2,5884,卖盘
14:46:36,29.44,-0.37%,--,3,8832,买盘
14:46:33,29.44,-0.37%,+0.02,3,8832,买盘
14:46:30,29.42,-0.44%,--,1,2942,卖盘
14:46:27,29.42,-0.44%,--,2,5884,中性盘
14:46:27,29.42,-0.44%,--,2,5884,卖盘
14:46:18,29.42,-0.44%,--,1,2942,中性盘
14:46:18,29.42,-0.44%,-0.03,1,2942,卖盘
14:46:15,29.45,-0.34%,+0.03,15,44175,买盘
14:46:12,29.42,-0.44%,--,10,29420,中性盘
14:46:12,29.42,-0.44%,-0.03,10,29420,卖盘
14:46:09,29.45,-0.34%,--,51,150195,卖盘
14:46:06,29.45,-0.34%,--,12,35340,卖盘
14:46:00,29.45,-0.34%,-0.01,3,8835,卖盘
14:45:57,29.46,-0.30%,-0.01,11,32406,中性盘
14:45:57,29.46,-0.30%,+0.01,11,32406,买盘
14:45:54,29.45,-0.34%,-0.01,72,212040,卖盘
14:45:51,29.46,-0.30%,+0.01,9,26514,买盘
14:45:42,29.45,-0.34%,--,18,53010,中性盘
14:45:42,29.45,-0.34%,+0.03,18,53010,买盘
14:45:36,29.42,-0.44%,+0.01,5,14710,中性盘
14:45:33,29.41,-0.47%,-0.02,7,20587,卖盘
14:45:27,29.43,-0.41%,-0.02,27,79461,中性盘
14:45:27,29.43,-0.41%,-0.03,27,79461,卖盘
14:45:24,29.46,-0.30%,+0.01,1,2946,买盘
14:45:21,29.45,-0.34%,-0.03,11,32395,卖盘
14:45:15,29.48,-0.24%,+0.03,9,26532,买盘
14:45:12,29.45,-0.34%,--,27,79515,中性盘
14:45:12,29.45,-0.34%,-0.02,27,79515,卖盘
14:45:09,29.47,-0.27%,+0.01,18,53046,买盘
14:45:06,29.46,-0.30%,--,202,595092,卖盘
14:45:03,29.46,-0.30%,-0.01,16,47136,卖盘
14:44:57,29.47,-0.27%,--,84,247548,买盘
14:44:54,29.47,-0.27%,+0.01,13,38311,买盘
14:44:51,29.46,-0.30%,--,5,14730,卖盘
14:44:51,29.46,-0.30%,--,5,14730,中性盘
14:44:48,29.46,-0.30%,--,13,38298,卖盘
14:44:45,29.46,-0.30%,--,41,120786,卖盘
14:44:42,29.46,-0.30%,--,4,11784,卖盘
14:44:39,29.46,-0.30%,--,1,2946,卖盘
14:44:39,29.46,-0.30%,--,1,2946,中性盘
14:44:36,29.46,-0.30%,-0.01,10,29460,卖盘
14:44:33,29.47,-0.27%,+0.01,8,23576,买盘
14:44:30,29.46,-0.30%,--,119,350574,卖盘
14:44:27,29.46,-0.30%,--,6,17676,卖盘
14:44:24,29.46,-0.30%,--,2,5892,卖盘
14:44:21,29.46,-0.30%,--,20,58920,卖盘
14:44:18,29.46,-0.30%,--,17,50082,中性盘
14:44:18,29.46,-0.30%,--,17,50082,卖盘
14:44:12,29.46,-0.30%,-0.02,1,2946,卖盘
14:44:09,29.48,-0.24%,--,50,147400,买盘
14:44:09,29.48,-0.24%,--,50,147400,中性盘
14:44:09,29.48,-0.24%,+0.02,50,147400,买盘
14:44:03,29.46,-0.30%,-0.01,2,5892,卖盘
14:44:00,29.47,-0.27%,-0.01,2,5894,中性盘
14:43:57,29.48,-0.24%,+0.01,2,5896,买盘
14:43:54,29.47,-0.27%,-0.01,1,2947,中性盘
14:43:51,29.48,-0.24%,--,15,44220,买盘
14:43:42,29.48,-0.24%,-0.01,12,35376,卖盘
14:43:39,29.49,-0.20%,--,1,2949,买盘
14:43:39,29.49,-0.20%,--,1,2949,中性盘
14:43:30,29.49,-0.20%,+0.03,3,8847,买盘
14:43:21,29.46,-0.30%,--,3,8838,卖盘
14:43:12,29.46,-0.30%,--,19,55974,卖盘
14:43:12,29.46,-0.30%,--,19,55974,中性盘
14:43:12,29.46,-0.30%,-0.01,19,55974,中性盘
14:43:06,29.47,-0.27%,+0.02,2,5894,中性盘
14:43:03,29.45,-0.34%,-0.01,32,94240,卖盘
14:42:57,29.46,-0.30%,--,6,17676,买盘
14:42:54,29.46,-0.30%,+0.03,1,2946,买盘
14:42:51,29.43,-0.41%,--,40,117720,卖盘
14:42:48,29.43,-0.41%,--,5,14715,中性盘
14:42:48,29.43,-0.41%,-0.03,5,14715,卖盘
14:42:45,29.46,-0.30%,+0.03,3,8838,买盘
14:42:42,29.43,-0.41%,-0.01,13,38259,卖盘
14:42:39,29.44,-0.37%,+0.04,1,2944,中性盘
14:42:36,29.4,-0.51%,--,40,117600,中性盘
14:42:36,29.4,-0.51%,-0.1,40,117600,卖盘
14:42:33,29.5,-0.17%,+0.01,1,2950,买盘
14:42:30,29.49,-0.20%,-0.01,34,100266,卖盘
14:42:27,29.5,-0.17%,--,6,17700,卖盘
14:42:24,29.5,-0.17%,--,16,47200,卖盘
14:42:21,29.5,-0.17%,-0.01,581,1713950,卖盘
14:42:18,29.51,-0.14%,-0.01,17,50167,中性盘
14:42:18,29.51,-0.14%,-0.01,17,50167,卖盘
14:42:15,29.52,-0.10%,+0.01,37,109224,买盘
14:42:12,29.51,-0.14%,--,17,50167,卖盘
14:42:09,29.51,-0.14%,--,206,607906,卖盘
14:42:06,29.51,-0.14%,--,2,5902,卖盘
14:42:03,29.51,-0.14%,-0.01,3,8853,卖盘
14:42:00,29.52,-0.10%,--,35,103320,买盘
14:41:57,29.52,-0.10%,--,37,109224,卖盘
14:41:54,29.52,-0.10%,-0.01,72,212544,卖盘
14:41:51,29.53,-0.07%,+0.01,66,194898,买盘
14:41:42,29.52,-0.10%,--,1,2952,中性盘
14:41:42,29.52,-0.10%,--,1,2952,卖盘
14:41:36,29.52,-0.10%,-0.01,22,64944,卖盘
14:41:33,29.53,-0.07%,+0.01,34,100402,买盘
14:41:30,29.52,-0.10%,-0.01,1,2952,卖盘
14:41:21,29.53,-0.07%,--,25,73825,卖盘
14:41:18,29.53,-0.07%,--,32,94496,卖盘
14:41:15,29.53,-0.07%,--,13,38389,中性盘
14:41:15,29.53,-0.07%,--,13,38389,卖盘
14:41:06,29.53,-0.07%,--,1,2953,中性盘
14:41:03,29.53,-0.07%,-0.01,53,156509,卖盘
14:41:00,29.54,-0.03%,--,4,11816,买盘
14:41:00,29.54,-0.03%,--,4,11816,中性盘
14:40:57,29.54,-0.03%,--,1,2954,买盘
14:40:51,29.54,-0.03%,+0.02,9,26586,买盘
14:40:48,29.52,-0.10%,-0.01,44,129888,卖盘
14:40:39,29.53,-0.07%,-0.01,12,35436,中性盘
14:39:36,29.53,-0.07%,-0.01,1,2953,卖盘
14:39:33,29.54,-0.03%,--,1,2954,卖盘
14:39:30,29.54,-0.03%,-0.01,9,26586,卖盘
14:39:27,29.55,0.00%,+0.01,2,5910,买盘
14:39:24,29.54,-0.03%,-0.01,33,97482,卖盘
14:39:21,29.55,0.00%,--,15,44325,卖盘
14:39:18,29.55,0.00%,-0.01,71,209805,卖盘
14:39:15,29.56,+0.03%,+0.01,9,26604,买盘
14:39:09,29.55,0.00%,-0.01,1,2955,卖盘
14:38:45,29.55,0.00%,+0.01,19,56145,买盘
14:38:42,29.54,-0.03%,-0.01,31,91574,卖盘
14:38:39,29.55,0.00%,--,1,2955,买盘
14:38:33,29.55,0.00%,--,8,23640,买盘
14:38:30,29.55,0.00%,--,5,14775,买盘
14:38:27,29.55,0.00%,+0.01,1,2955,买盘
14:38:24,29.54,-0.03%,--,7,20678,买盘
14:38:12,29.54,-0.03%,+0.01,4,11816,买盘
14:38:06,29.53,-0.07%,-0.01,2,5906,中性盘
14:37:57,29.54,-0.03%,+0.02,8,23632,买盘
14:37:54,29.52,-0.10%,--,6,17712,卖盘
14:37:51,29.52,-0.10%,--,4,11808,卖盘
14:37:45,29.52,-0.10%,+0.01,9,26568,卖盘
14:37:39,29.51,-0.14%,-0.01,51,150501,卖盘
14:37:24,29.52,-0.10%,--,40,118080,卖盘
14:37:18,29.52,-0.10%,--,2,5904,卖盘
14:37:12,29.52,-0.10%,-0.03,33,97416,卖盘
14:37:09,29.55,0.00%,-0.01,73,215715,卖盘
14:37:06,29.56,+0.03%,--,4,11824,卖盘
14:37:03,29.56,+0.03%,--,5,14780,卖盘
14:37:00,29.56,+0.03%,--,45,133020,卖盘
14:36:57,29.56,+0.03%,-0.01,21,62076,卖盘
14:36:54,29.57,+0.07%,+0.01,9,26613,中性盘
14:36:51,29.56,+0.03%,-0.02,44,130064,卖盘
14:36:48,29.58,+0.10%,-0.02,99,292842,卖盘
14:36:45,29.6,+0.17%,+0.02,88,260480,买盘
14:36:42,29.58,+0.10%,-0.02,35,104713,卖盘
14:36:39,29.6,+0.17%,--,4,11840,卖盘
14:36:36,29.6,+0.17%,-0.03,204,603840,卖盘
14:36:27,29.63,+0.27%,+0.01,41,121483,买盘
14:36:21,29.62,+0.24%,+0.02,33,97746,买盘
14:36:18,29.6,+0.17%,-0.02,27,79920,卖盘
14:36:12,29.62,+0.24%,+0.02,12,35544,买盘
14:36:06,29.6,+0.17%,-0.01,36,106560,卖盘
14:36:03,29.61,+0.20%,-0.01,1,2961,卖盘
14:36:00,29.62,+0.24%,+0.02,58,173573,买盘
14:35:57,29.6,+0.17%,--,9,26640,买盘
14:35:54,29.6,+0.17%,--,7,20720,买盘
14:35:51,29.6,+0.17%,--,2,5920,买盘
14:35:48,29.6,+0.17%,--,5,14800,买盘
14:35:45,29.6,+0.17%,+0.02,15,44400,买盘
14:35:42,29.58,+0.10%,-0.02,5,14790,卖盘
14:35:36,29.6,+0.17%,-0.02,10,29600,中性盘
14:40:39,29.53,-0.07%,--,12,35436,卖盘
14:40:30,29.54,-0.03%,+0.01,11,32494,买盘
14:40:27,29.53,-0.07%,--,9,26577,卖盘
14:40:24,29.53,-0.07%,+0.01,27,79731,买盘
14:40:21,29.52,-0.10%,--,20,59040,卖盘
14:40:18,29.52,-0.10%,--,14,41328,卖盘
14:40:06,29.53,-0.07%,--,26,76778,卖盘
14:40:03,29.53,-0.07%,--,3,8859,卖盘
14:40:00,29.53,-0.07%,--,44,129932,卖盘
14:40:00,29.53,-0.07%,--,44,129932,中性盘
14:35:36,29.6,+0.17%,--,10,29600,买盘
14:35:33,29.6,+0.17%,+0.02,30,88800,买盘
14:35:27,29.58,+0.10%,-0.02,2,5916,卖盘
14:35:24,29.6,+0.17%,+0.02,2,5920,买盘
14:35:12,29.58,+0.10%,--,5,14790,买盘
14:35:09,29.58,+0.10%,+0.01,5,14790,买盘
14:35:03,29.57,+0.07%,+0.01,53,156721,买盘
14:34:57,29.56,+0.03%,+0.02,1,2956,买盘
14:34:54,29.54,-0.03%,-0.02,29,85666,卖盘
14:34:51,29.56,+0.03%,+0.05,54,159624,买盘
14:34:48,29.51,-0.14%,--,2,5902,中性盘
14:39:48,29.53,-0.07%,--,6,17718,卖盘
14:39:45,29.53,-0.07%,--,14,41342,卖盘
14:39:42,29.53,-0.07%,-0.02,79,233287,卖盘
14:39:39,29.55,0.00%,+0.02,22,65010,买盘
14:39:33,29.54,-0.03%,--,1,2954,中性盘
14:34:48,29.51,-0.14%,-0.01,2,5902,卖盘
14:34:45,29.52,-0.10%,+0.01,55,162360,买盘
14:38:45,29.55,0.00%,--,19,56145,中性盘
14:34:42,29.51,-0.14%,+0.01,6,17706,买盘
14:34:36,29.5,-0.17%,-0.01,12,35400,卖盘
14:34:30,29.51,-0.14%,-0.01,1,2951,卖盘
14:34:27,29.52,-0.10%,-0.01,21,61992,中性盘
14:34:21,29.53,-0.07%,+0.02,8,23624,买盘
14:34:15,29.52,-0.10%,+0.02,3,8856,买盘
14:34:12,29.5,-0.17%,-0.03,2,5900,卖盘
14:34:09,29.53,-0.07%,+0.03,6,17718,买盘
14:34:06,29.5,-0.17%,-0.03,44,129800,卖盘
14:34:03,29.53,-0.07%,-0.03,2,5906,卖盘
14:34:00,29.56,+0.03%,+0.03,6,17736,买盘
14:33:51,29.53,-0.07%,--,6,17718,中性盘
14:38:00,29.54,-0.03%,-0.01,7,20678,中性盘
14:37:24,29.52,-0.10%,--,40,118080,中性盘
14:33:51,29.53,-0.07%,-0.03,6,17718,中性盘
14:33:48,29.56,+0.03%,+0.04,68,201008,买盘
14:33:45,29.52,-0.10%,-0.04,3,8856,买盘
14:33:42,29.56,+0.03%,+0.04,5,14780,买盘
14:33:39,29.52,-0.10%,+0.01,14,41328,卖盘
14:33:36,29.51,-0.14%,+0.01,2,5902,买盘
14:33:30,29.5,-0.17%,--,14,41300,卖盘
14:33:27,29.5,-0.17%,+0.03,56,165200,买盘
14:33:24,29.47,-0.27%,+0.06,26,76622,中性盘
14:33:15,29.41,-0.47%,-0.03,20,58820,卖盘
14:33:12,29.44,-0.37%,-0.01,5,14720,中性盘
14:33:09,29.45,-0.34%,+0.05,50,147250,买盘
14:33:06,29.4,-0.51%,+0.08,110,323400,买盘
14:33:00,29.32,-0.78%,-0.03,56,164192,卖盘
14:32:51,29.35,-0.68%,-0.01,1,2935,卖盘
14:32:48,29.36,-0.64%,--,4,11744,卖盘
14:32:45,29.36,-0.64%,--,15,44040,卖盘
14:32:42,29.36,-0.64%,--,5,14680,卖盘
14:32:39,29.36,-0.64%,--,27,79272,卖盘
14:32:30,29.36,-0.64%,-0.01,18,52848,卖盘
14:32:27,29.37,-0.61%,-0.01,94,276078,中性盘
14:32:27,29.37,-0.61%,+0.02,94,276078,买盘
14:32:24,29.35,-0.68%,--,1,2935,卖盘
14:32:21,29.35,-0.68%,--,42,123270,中性盘
14:36:27,29.63,+0.27%,-0.03,41,121483,中性盘
14:35:57,29.6,+0.17%,--,9,26640,中性盘
14:35:48,29.6,+0.17%,--,5,14800,中性盘
14:35:03,29.57,+0.07%,--,53,156721,中性盘
14:32:21,29.35,-0.68%,-0.02,42,123270,卖盘
14:32:18,29.37,-0.61%,--,34,99858,卖盘
14:32:15,29.37,-0.61%,--,256,751872,卖盘
14:32:12,29.37,-0.61%,--,12,35244,卖盘
14:32:09,29.37,-0.61%,-0.01,1,2937,卖盘
14:32:06,29.38,-0.58%,+0.01,42,123396,买盘
14:32:03,29.37,-0.61%,-0.01,25,73425,卖盘
14:32:00,29.38,-0.58%,--,11,32318,买盘
14:31:57,29.38,-0.58%,--,2,5876,买盘
14:31:54,29.38,-0.58%,--,144,423072,卖盘
14:31:51,29.38,-0.58%,--,13,38194,卖盘
14:31:48,29.38,-0.58%,+0.01,7,20566,买盘
14:31:39,29.37,-0.61%,-0.02,16,46992,卖盘
14:31:36,29.39,-0.54%,+0.01,6,17634,买盘
14:31:33,29.38,-0.58%,+0.01,5,14690,卖盘
14:31:30,29.37,-0.61%,-0.01,2,5874,卖盘
14:31:27,29.38,-0.58%,--,21,61698,中性盘
14:31:24,29.38,-0.58%,+0.01,14,41132,买盘
14:31:21,29.37,-0.61%,-0.01,4,11748,卖盘
