日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-06,BK1112,破净股,1043.46,-0.1,-1052929792,-2.76,-649000960,-1.7000000000000002,-403928832,-1.06,200837888,0.53,848105984,2.22
2023-07-05,BK1112,破净股,1044.54,-0.13,-870164992,-2.41,-231023104,-0.64,-639141888,-1.77,252638464,0.7000000000000001,618127616,1.71
2023-07-04,BK1112,破净股,1045.86,-0.25,-2025423104,-4.62,-1247568384,-2.84,-777854720,-1.77,328088576,0.75,1703698176,3.88
2023-07-03,BK1112,破净股,1048.47,1.24,2770160128,4.98,2406116864,4.33,364043264,0.65,-1049554176,-1.89,-1718028544,-3.09
2023-06-30,BK1112,破净股,1035.63,1.13,564445440,1.36,742867712,1.79,-178422272,-0.43,-966996992,-2.34,403995136,0.98
2023-06-29,BK1112,破净股,1024.06,-0.30000000000000004,-1064266240,-2.98,-840306176,-2.35,-223960064,-0.63,-216185856,-0.6000000000000001,1289878528,3.61
2023-06-28,BK1112,破净股,1027.19,0.15,-1194947584,-2.96,-982065152,-2.43,-212882432,-0.53,327373056,0.81,866809088,2.14
2023-06-27,BK1112,破净股,1025.7,2.43,2807721728,5.26,2199016960,4.12,608704768,1.14,-1283468032,-2.41,-1525578240,-2.86
2023-06-26,BK1112,破净股,1001.35,-1.33,-3157126912,-6.21,-2338747392,-4.6,-818379520,-1.61,761722112,1.5,2386749184,4.69
2023-06-21,BK1112,破净股,1014.82,-0.55,600515840,1.31,-186500352,-0.41,787016192,1.71,-348309248,-0.76,-254133504,-0.55
2023-06-20,BK1112,破净股,1020.41,-1.21,-2817057536,-6.46,-2104244992,-4.82,-712812544,-1.63,651429120,1.49,2162161408,4.96
2023-06-19,BK1112,破净股,1032.93,-1.16,-5154216960,-9.65,-3592903424,-6.73,-1561313536,-2.92,2442823680,4.57,2701973760,5.06
2023-06-16,BK1112,破净股,1045.06,0.48,-253966080,-0.44,-363392000,-0.63,109425920,0.19,374868224,0.64,-116214016,-0.2
