日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-10,BK0952,第三代半导体,1301.28,-0.35000000000000003,-782659424,-3.78,-475399008,-2.3,-307260416,-1.49,262249728,1.27,520409600,2.52
2023-07-07,BK0952,第三代半导体,1305.87,-1.59,-1604453168,-6.67,-872065328,-3.62,-732387840,-3.04,131403776,0.55,1473049088,6.12
2023-07-06,BK0952,第三代半导体,1327.02,0.37,-602080576,-2.26,-214430016,-0.81,-387650560,-1.46,65214208,0.25,536866304,2.02
2023-07-05,BK0952,第三代半导体,1322.1,-0.94,-2272067376,-8.62,-1101114928,-4.18,-1170952448,-4.44,414698496,1.57,1857368832,7.04
2023-07-04,BK0952,第三代半导体,1334.7,2.14,1022776608,3.27,893626912,2.85,129149696,0.41,-413690624,-1.32,-609086208,-1.95
2023-07-03,BK0952,第三代半导体,1306.7,0.29,-889369680,-3.31,-406404944,-1.51,-482964736,-1.8,5560064,0.02,883809792,3.29
2023-06-30,BK0952,第三代半导体,1302.97,1.46,-129092304,-0.52,-66616272,-0.27,-62476032,-0.25,-135317760,-0.54,264410112,1.06
2023-06-29,BK0952,第三代半导体,1284.19,1.38,-89919728,-0.37,104535056,0.43,-194454784,-0.8,56087808,0.23,33831680,0.14
2023-06-28,BK0952,第三代半导体,1266.73,-0.77,-555617488,-2.25,65211952,0.26,-620829440,-2.51,-56569344,-0.23,612186624,2.48
2023-06-27,BK0952,第三代半导体,1276.57,0.96,-405187632,-1.91,-387427888,-1.83,-17759744,-0.08,86937344,0.41,318250240,1.5
2023-06-26,BK0952,第三代半导体,1264.47,-1.87,-1329119344,-5.02,-684198512,-2.59,-644920832,-2.44,-44653568,-0.17,1373772800,5.19
2023-06-21,BK0952,第三代半导体,1288.59,-2.05,-2363436752,-7.4,-1426626768,-4.47,-936809984,-2.93,-125489664,-0.39,2488926464,7.79
2023-06-20,BK0952,第三代半导体,1315.51,-0.21,-1025361824,-3.45,-559779232,-1.88,-465582592,-1.57,-157098752,-0.53,1182460672,3.98
2023-06-19,BK0952,第三代半导体,1318.31,1.2,-540835328,-1.65,-376665600,-1.15,-164169728,-0.5,-188028416,-0.58,728864000,2.23
2023-06-16,BK0952,第三代半导体,1302.68,1.46,182903600,0.68,331929904,1.23,-149026304,-0.55,-330444032,-1.23,147540480,0.55
