日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-04,BK0927,免税概念,1232.83,-0.66,-186749376,-1.69,-12870272,-0.12,-173879104,-1.57,-130165376,-1.18,316914768,2.86
2023-08-03,BK0927,免税概念,1241.02,0.48,-201082176,-2.33,-60128912,-0.7000000000000001,-140953264,-1.63,45640176,0.53,155441984,1.8
2023-08-02,BK0927,免税概念,1235.05,-0.08,-258487936,-3.04,-108743152,-1.28,-149744784,-1.76,-46059216,-0.54,304547152,3.59
2023-08-01,BK0927,免税概念,1236.08,-0.72,-866630816,-8.35,-562013040,-5.41,-304617776,-2.93,125807664,1.21,740823168,7.14
2023-07-31,BK0927,免税概念,1245.09,2.3,-293883344,-1.89,-260927040,-1.6800000000000002,-32956304,-0.21,6133248,0.04,287750032,1.86
2023-07-28,BK0927,免税概念,1217.06,1.88,392689728,3.59,533018208,4.87,-140328480,-1.28,-68717632,-0.63,-323972096,-2.96
2023-07-27,BK0927,免税概念,1194.56,-0.47,190719536,2.06,92233376,1.0,98486160,1.07,-156505200,-1.69,-34214352,-0.37
2023-07-26,BK0927,免税概念,1200.22,0.25,-284254688,-3.64,-160249664,-2.05,-124005024,-1.59,-42620704,-0.55,326875392,4.18
2023-07-24,BK0927,免税概念,1177.88,-0.30000000000000004,-599331648,-8.6,-287160000,-4.12,-312171648,-4.48,144307888,2.07,455023760,6.53
2023-07-21,BK0927,免税概念,1181.42,-0.09,-196991200,-2.54,-25566496,-0.33,-171424704,-2.21,42135008,0.54,154856176,1.99
2023-07-20,BK0927,免税概念,1182.52,0.91,-65577648,-0.76,-55506000,-0.64,-10071648,-0.12,-21797280,-0.25,87374912,1.01
2023-07-19,BK0927,免税概念,1171.85,0.99,-154624736,-2.43,-40477696,-0.64,-114147040,-1.79,-13263280,-0.21,167888000,2.63
2023-07-17,BK0927,免税概念,1145.64,-0.31,-422987523,-10.07,-301162179,-7.17,-121825344,-2.9,128284288,3.05,294703232,7.01
2023-07-14,BK0927,免税概念,1149.19,-0.53,-293410640,-5.11,-218335392,-3.8,-75075248,-1.31,106541168,1.85,186869472,3.25
2023-07-13,BK0927,免税概念,1155.28,0.29,66338944,0.93,136008352,1.91,-69669408,-0.98,-100665968,-1.42,34327040,0.48
2023-07-12,BK0927,免税概念,1151.98,-1.25,-457698800,-6.75,-258881152,-3.82,-198817648,-2.93,107042416,1.58,350656400,5.17
2023-07-11,BK0927,免税概念,1166.59,-0.2,-588589984,-8.77,-384585088,-5.73,-204004896,-3.04,150388784,2.24,438201200,6.53
2023-07-10,BK0927,免税概念,1168.96,1.37,1070581824,10.14,925789056,8.77,144792768,1.37,-486988784,-4.61,-583593040,-5.53
2023-07-07,BK0927,免税概念,1153.21,0.65,-57785488,-1.1,-52313184,-0.99,-5472304,-0.1,29028016,0.55,28757472,0.55
2023-07-06,BK0927,免税概念,1145.72,-0.61,-338292128,-5.86,-203004880,-3.52,-135287248,-2.34,96126720,1.66,242165408,4.19
2023-07-05,BK0927,免税概念,1152.78,-0.34,-255103936,-4.16,-161269680,-2.63,-93834256,-1.53,76355984,1.24,178747952,2.91
2023-07-04,BK0927,免税概念,1156.69,0.09,-355913584,-5.78,-142934016,-2.32,-212979568,-3.46,156430832,2.54,199482752,3.24
2023-07-03,BK0927,免税概念,1155.69,1.73,383090016,4.12,98497760,1.06,284592256,3.06,-7293248,-0.08,-375796768,-4.04
2023-06-30,BK0927,免税概念,1136.0,0.74,18789232,0.30000000000000004,82884576,1.3,-64095344,-1.01,-54066608,-0.85,35277360,0.55
2023-06-29,BK0927,免税概念,1127.66,-0.86,-662006560,-8.42,-300462688,-3.82,-361543872,-4.6,184615792,2.35,477390752,6.07
2023-06-28,BK0927,免税概念,1137.45,0.06,-191581184,-3.39,-151806448,-2.68,-39774736,-0.7000000000000001,55559568,0.98,136021600,2.4
2023-06-27,BK0927,免税概念,1136.81,2.74,362358480,5.03,362940112,5.04,-581632,-0.01,-379650400,-5.27,17291920,0.24
2023-06-26,BK0927,免税概念,1106.5,-1.85,-298580800,-4.21,-163997344,-2.31,-134583456,-1.9,-131578848,-1.85,430159648,6.06
2023-06-21,BK0927,免税概念,1127.35,-0.94,-353481680,-5.45,-291378240,-4.49,-62103440,-0.96,85715744,1.32,267765952,4.13
2023-06-20,BK0927,免税概念,1138.0,-1.8,-704382096,-9.39,-552178512,-7.36,-152203584,-2.03,179091936,2.39,525290160,7.0
2023-06-19,BK0927,免税概念,1158.9,-1.6,-1072255280,-11.5,-838039120,-8.99,-234216160,-2.51,285726768,3.06,786528512,8.43
2023-06-16,BK0927,免税概念,1177.7,-0.01,-261403760,-2.7,-38411456,-0.4,-222992304,-2.3,207568608,2.14,53835168,0.56
