日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-21,BK0679,超导概念,2792.32,-0.42,-37890167,-2.79,-5995151,-0.44,-31895016,-2.35,-5137392,-0.38,43027568,3.17
2023-07-20,BK0679,超导概念,2804.2,-1.55,-128014652,-7.96,-58144348,-3.62,-69870304,-4.35,-2206560,-0.14,130221232,8.1
2023-07-19,BK0679,超导概念,2848.3,-0.5700000000000001,-129395800,-8.02,-41948568,-2.6,-87447232,-5.42,18492816,1.15,110902976,6.87
2023-07-17,BK0679,超导概念,2870.8,-0.11,-129858299,-6.0,-69487115,-3.21,-60371184,-2.79,17240544,0.8,112617744,5.21
2023-07-14,BK0679,超导概念,2873.83,-0.67,86116496,2.61,-19777040,-0.6000000000000001,105893536,3.21,-26798640,-0.81,-59317856,-1.8
2023-07-13,BK0679,超导概念,2893.31,0.81,-24410407,-1.12,-31907399,-1.47,7496992,0.35000000000000003,46714320,2.15,-22303920,-1.03
2023-07-12,BK0679,超导概念,2870.16,-1.46,-312275742,-11.47,-155935534,-5.73,-156340208,-5.74,62209136,2.29,250066608,9.19
2023-07-11,BK0679,超导概念,2912.56,0.9,23462986,1.09,-50497110,-2.35,73960096,3.44,-32785040,-1.53,9322048,0.43
2023-07-10,BK0679,超导概念,2886.68,-1.2,-189236071,-7.38,-90730007,-3.54,-98506064,-3.84,-37444400,-1.46,226680480,8.84
2023-07-07,BK0679,超导概念,2921.74,-1.3,-331350923,-10.95,-195206827,-6.45,-136144096,-4.5,-22726896,-0.75,354077808,11.7
2023-07-06,BK0679,超导概念,2960.17,-0.39,-183065328,-4.75,-50312912,-1.3,-132752416,-3.44,52392768,1.36,130672560,3.39
2023-07-05,BK0679,超导概念,2971.8,0.89,-121436448,-3.33,6777888,0.19,-128214336,-3.52,-18240832,-0.5,139677264,3.83
2023-07-04,BK0679,超导概念,2945.59,-0.17,-237365937,-7.89,-185043633,-6.15,-52322304,-1.74,5547216,0.18,231818704,7.71
2023-07-03,BK0679,超导概念,2950.59,0.44,186318656,4.55,139125056,3.4,47193600,1.15,-122427472,-2.99,-63891168,-1.56
2023-06-30,BK0679,超导概念,2937.52,1.66,-27827488,-0.75,2217328,0.06,-30044816,-0.81,105549152,2.85,-77721648,-2.1
2023-06-29,BK0679,超导概念,2889.47,1.23,-83218329,-2.96,10969431,0.39,-94187760,-3.35,-40882032,-1.45,124100368,4.42
2023-06-28,BK0679,超导概念,2854.24,-0.58,-198114921,-6.47,-120717945,-3.94,-77396976,-2.53,-35281120,-1.15,233396032,7.62
2023-06-27,BK0679,超导概念,2870.85,1.85,-6797292,-0.23,-45139372,-1.52,38342080,1.29,21890608,0.74,-15093312,-0.51
2023-06-26,BK0679,超导概念,2818.71,-1.62,-146065168,-3.51,15079920,0.36,-161145088,-3.87,3279232,0.08,142785920,3.43
2023-06-21,BK0679,超导概念,2865.16,-2.44,-458253280,-10.04,-351378208,-7.7,-106875072,-2.34,-25577152,-0.56,483830416,10.6
2023-06-20,BK0679,超导概念,2936.84,-0.6000000000000001,-549039136,-8.54,-399699600,-6.22,-149339536,-2.32,218292576,3.4,330746560,5.14
2023-06-19,BK0679,超导概念,2954.47,1.84,205447840,2.62,283415456,3.61,-77967616,-0.99,-163603664,-2.09,-41844176,-0.53
2023-06-16,BK0679,超导概念,2901.23,1.08,-153720128,-2.58,-84873504,-1.42,-68846624,-1.15,29210640,0.49,124509488,2.09
