日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-27,BK0948,MicroLED,868.3,-1.16,-263333968,-8.71,-242369808,-8.02,-20964160,-0.6900000000000001,91009168,3.01,172324768,5.7
2023-07-26,BK0948,MicroLED,878.48,-1.52,-364792832,-10.06,-196290368,-5.41,-168502464,-4.65,135514640,3.74,229278176,6.32
2023-07-24,BK0948,MicroLED,878.41,0.54,-111667472,-4.36,-50419744,-1.97,-61247728,-2.39,-27352992,-1.07,139020480,5.42
2023-07-21,BK0948,MicroLED,873.71,-0.91,-633368720,-15.65,-268847760,-6.64,-364520960,-9.0,175369376,4.33,457999344,11.31
2023-07-20,BK0948,MicroLED,881.74,-1.6,-419380304,-11.36,-68110640,-1.84,-351269664,-9.51,-60371408,-1.64,479751728,12.99
2023-07-19,BK0948,MicroLED,896.04,-0.96,-270355024,-7.55,-141991632,-3.97,-128363392,-3.59,-71156736,-1.99,341511760,9.54
2023-07-17,BK0948,MicroLED,907.27,-0.98,-423108640,-7.6,-642102752,-11.53,218994112,3.93,290892368,5.22,132216272,2.37
2023-07-14,BK0948,MicroLED,916.22,2.86,982884912,13.28,769881920,10.41,213002992,2.88,-456277824,-6.17,-526607104,-7.12
2023-07-13,BK0948,MicroLED,890.71,1.6800000000000002,111982512,3.08,77397552,2.13,34584960,0.95,-129563792,-3.56,17581280,0.48
2023-07-12,BK0948,MicroLED,875.99,-1.78,-36103776,-0.78,23772816,0.51,-59876592,-1.29,-113932160,-2.46,150035920,3.24
2023-07-11,BK0948,MicroLED,891.88,1.04,121971616,3.55,183588672,5.34,-61617056,-1.79,-122446160,-3.56,474544,0.01
2023-07-10,BK0948,MicroLED,882.71,-0.95,-282373568,-6.08,-62994928,-1.36,-219378640,-4.72,44509632,0.96,237863936,5.12
2023-07-07,BK0948,MicroLED,891.18,-1.02,202022128,3.05,211986224,3.2,-9964096,-0.15,-229362576,-3.46,27340448,0.41
2023-07-06,BK0948,MicroLED,900.37,0.71,482948064,7.28,372479024,5.61,110469040,1.66,-281656912,-4.24,-201291136,-3.03
2023-07-05,BK0948,MicroLED,894.01,-1.03,-168416272,-4.0,-126519296,-3.01,-41896976,-1.0,-63396960,-1.51,231813216,5.51
2023-07-04,BK0948,MicroLED,903.27,1.1,175950096,3.21,84462592,1.54,91487504,1.67,-101981312,-1.86,-73968784,-1.35
2023-07-03,BK0948,MicroLED,893.45,0.6000000000000001,-20837008,-0.32,-87479984,-1.35,66642976,1.03,-87350560,-1.35,108187584,1.67
2023-06-30,BK0948,MicroLED,888.14,1.24,513852176,9.15,562794816,10.02,-48942640,-0.87,-243426336,-4.33,-270425824,-4.82
2023-06-29,BK0948,MicroLED,877.26,1.51,-60863664,-1.29,121887888,2.59,-182751552,-3.88,-104354912,-2.22,165218560,3.51
2023-06-28,BK0948,MicroLED,864.19,-0.79,-142685296,-2.61,26814656,0.49,-169499952,-3.1,-1468560,-0.03,144153856,2.64
2023-06-27,BK0948,MicroLED,871.11,1.37,-239083072,-4.24,8795648,0.16,-247878720,-4.39,94658208,1.6800000000000002,144424864,2.56
2023-06-26,BK0948,MicroLED,859.33,-1.86,-153972336,-1.81,236310160,2.77,-390282496,-4.58,68068672,0.8,85903648,1.01
2023-06-21,BK0948,MicroLED,875.61,-2.22,-444904672,-7.35,-192060944,-3.17,-252843728,-4.18,40757888,0.67,404146784,6.67
2023-06-20,BK0948,MicroLED,895.45,-0.31,-306237344,-5.16,-197422192,-3.33,-108815152,-1.84,-57613312,-0.97,363850640,6.14
2023-06-19,BK0948,MicroLED,898.26,0.67,-424667280,-5.51,-308784976,-4.01,-115882304,-1.5,153587824,1.99,271079440,3.52
2023-06-16,BK0948,MicroLED,892.28,1.74,261879712,4.26,380561216,6.2,-118681504,-1.93,-43886192,-0.71,-217993504,-3.55
