日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-27,BK0919,RCS概念,1088.0,-0.92,-343026416,-5.88,-98435792,-1.69,-244590624,-4.19,-36115296,-0.62,379141728,6.5
2023-07-26,BK0919,RCS概念,1098.12,-1.82,-984023200,-13.59,-674296368,-9.31,-309726832,-4.28,248901552,3.44,735121648,10.15
2023-07-24,BK0919,RCS概念,1113.59,0.33,-57325296,-1.11,5549088,0.11,-62874384,-1.21,-115767856,-2.23,173093136,3.34
2023-07-21,BK0919,RCS概念,1109.94,-0.15,-385907472,-5.68,-240277744,-3.54,-145629728,-2.14,-35469520,-0.52,421376992,6.21
2023-07-20,BK0919,RCS概念,1111.58,-1.48,-835273152,-10.63,-585346656,-7.45,-249926496,-3.18,169198064,2.15,666075088,8.47
2023-07-19,BK0919,RCS概念,1128.33,-0.23,-27369552,-0.47,41799392,0.72,-69168944,-1.19,-76943888,-1.32,104313424,1.79
2023-07-17,BK0919,RCS概念,1135.48,-0.62,-982100320,-13.55,-586919136,-8.1,-395181184,-5.45,252370400,3.48,729729936,10.07
2023-07-14,BK0919,RCS概念,1142.61,2.84,-408255536,-3.73,-546520848,-4.99,138265312,1.26,399641168,3.65,8614384,0.08
2023-07-13,BK0919,RCS概念,1111.05,2.65,604563232,7.01,683709760,7.92,-79146528,-0.92,-305705296,-3.54,-298857936,-3.46
2023-07-12,BK0919,RCS概念,1082.4,-2.81,-1074953280,-12.33,-756808480,-8.68,-318144800,-3.65,264845008,3.04,810108256,9.3
2023-07-11,BK0919,RCS概念,1113.71,1.07,-301538896,-4.38,-222007136,-3.23,-79531760,-1.16,180158528,2.62,121380368,1.76
2023-07-10,BK0919,RCS概念,1101.96,-0.1,31958768,0.58,77367360,1.42,-45408592,-0.8300000000000001,57024416,1.04,-88983168,-1.63
2023-07-07,BK0919,RCS概念,1103.08,-1.55,-130601568,-1.83,-102368336,-1.43,-28233232,-0.4,-134403840,-1.88,265005408,3.71
2023-07-06,BK0919,RCS概念,1120.45,1.11,107472720,1.65,78927808,1.22,28544912,0.44,-121852752,-1.88,14380032,0.22
2023-07-05,BK0919,RCS概念,1108.17,-0.27,-213122768,-3.25,-68741632,-1.05,-144381136,-2.2,57094816,0.87,156027936,2.38
2023-07-04,BK0919,RCS概念,1111.16,0.35000000000000003,-16189104,-0.23,69011232,0.97,-85200336,-1.19,-35891168,-0.5,52080272,0.73
2023-07-03,BK0919,RCS概念,1107.24,-1.57,-1141683968,-11.78,-936733232,-9.66,-204950736,-2.11,373130496,3.85,768553472,7.93
2023-06-30,BK0919,RCS概念,1124.86,0.68,-38728000,-0.51,-2873024,-0.04,-35854976,-0.48,-54235552,-0.72,92963568,1.24
2023-06-29,BK0919,RCS概念,1117.21,1.66,-53771072,-0.65,-122715920,-1.48,68944848,0.8300000000000001,129762928,1.56,-75991872,-0.91
2023-06-28,BK0919,RCS概念,1098.96,-1.51,-329776992,-3.36,-77963248,-0.79,-251813744,-2.5700000000000003,-5026576,-0.05,334803584,3.41
2023-06-27,BK0919,RCS概念,1115.79,1.78,-263865056,-3.71,-176484640,-2.48,-87380416,-1.23,33649984,0.47,230215072,3.24
2023-06-26,BK0919,RCS概念,1096.33,-5.22,-959645440,-9.38,-451340432,-4.41,-508305008,-4.97,135523232,1.33,824122192,8.06
2023-06-21,BK0919,RCS概念,1156.65,-3.96,-1541962736,-12.1,-1155164384,-9.06,-386798352,-3.03,419511168,3.29,1122451568,8.81
2023-06-20,BK0919,RCS概念,1204.32,-0.2,112438672,0.71,332023440,2.09,-219584768,-1.38,-158636288,-1.0,46197408,0.29
2023-06-19,BK0919,RCS概念,1206.71,1.16,-280952688,-2.09,-134949296,-1.0,-146003392,-1.09,83920640,0.62,197031968,1.47
2023-06-16,BK0919,RCS概念,1192.89,1.38,276725568,2.3,240060976,1.99,36664592,0.30000000000000004,-166637152,-1.38,-110088416,-0.91
