日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-21,BK0980,债转股,913.51,0.0,-289183344,-5.35,-159652416,-2.95,-129530928,-2.39,3320208,0.06,285863136,5.29
2023-07-20,BK0980,债转股,913.47,-0.88,-300872704,-4.5600000000000005,-138308592,-2.1,-162564112,-2.46,-30279888,-0.46,331152608,5.02
2023-07-19,BK0980,债转股,921.59,0.23,-103626048,-1.95,-29034416,-0.55,-74591632,-1.4,-145225952,-2.73,248852000,4.68
2023-07-17,BK0980,债转股,919.84,0.23,-271989536,-4.75,-204865024,-3.58,-67124512,-1.17,-5178320,-0.09,277167872,4.84
2023-07-14,BK0980,债转股,917.74,-0.1,-203548848,-2.77,-62674688,-0.85,-140874160,-1.92,500464,0.01,203048384,2.77
2023-07-13,BK0980,债转股,918.65,1.01,114684256,1.35,15201968,0.18,99482288,1.17,-241011504,-2.84,126327248,1.49
2023-07-12,BK0980,债转股,909.46,-1.28,-793096480,-9.04,-491901120,-5.61,-301195360,-3.43,103975872,1.19,689120608,7.86
2023-07-11,BK0980,债转股,921.22,0.02,-651385376,-8.33,-248070000,-3.17,-403315376,-5.16,58409488,0.75,592975904,7.58
2023-07-10,BK0980,债转股,921.03,-0.08,-281745680,-3.05,-106619808,-1.15,-175125872,-1.9,-24641648,-0.27,306387328,3.32
2023-07-07,BK0980,债转股,921.79,-0.16,-148472784,-1.29,-30156544,-0.26,-118316240,-1.03,-37018784,-0.32,185491568,1.61
2023-07-06,BK0980,债转股,923.29,-0.23,-338747056,-3.72,-156315152,-1.72,-182431904,-2.01,149828880,1.65,188918208,2.08
2023-07-05,BK0980,债转股,925.42,-0.14,324036096,3.08,346868080,3.3,-22831984,-0.22,-251961104,-2.39,-72074960,-0.68
2023-07-04,BK0980,债转股,926.74,-0.21,-731869232,-7.45,-369336704,-3.76,-362532528,-3.69,137930304,1.4,593938944,6.05
2023-07-03,BK0980,债转股,928.73,0.84,14586384,0.14,146622960,1.37,-132036576,-1.24,-122751808,-1.15,108165440,1.01
2023-06-30,BK0980,债转股,920.98,0.95,-148940320,-1.58,-78235328,-0.8300000000000001,-70704992,-0.75,-1097616,-0.01,150037936,1.59
2023-06-29,BK0980,债转股,912.33,0.23,-371171184,-3.82,-210610912,-2.17,-160560272,-1.65,-32329984,-0.33,403501152,4.15
2023-06-28,BK0980,债转股,910.24,0.03,-659846384,-6.0,-345923200,-3.14,-313923184,-2.85,118441936,1.08,541404480,4.92
2023-06-27,BK0980,债转股,909.94,2.51,539182512,4.94,356337504,3.26,182845008,1.67,-325303888,-2.98,-213878624,-1.96
2023-06-26,BK0980,债转股,887.69,-1.38,-596308560,-5.51,-398036000,-3.68,-198272560,-1.83,194116560,1.79,402192000,3.72
2023-06-21,BK0980,债转股,900.07,-0.64,-373453552,-3.51,-97267232,-0.91,-276186320,-2.59,204964016,1.93,168489536,1.58
2023-06-20,BK0980,债转股,905.83,-0.16,-44272608,-0.55,-22605984,-0.28,-21666624,-0.27,-74577536,-0.92,118850144,1.46
2023-06-19,BK0980,债转股,907.24,-0.68,-823935120,-8.95,-556671824,-6.05,-267263296,-2.9,344012976,3.74,479922144,5.21
2023-06-16,BK0980,债转股,913.41,0.99,281500288,3.02,235100736,2.53,46399552,0.5,-47585904,-0.51,-233914384,-2.51
