日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-27,BK0622,地热能,3159.45,-0.76,-36719584,-3.17,-18428941,-1.59,-18290643,-1.58,-5823920,-0.5,42543504,3.68
2023-07-26,BK0622,地热能,3183.75,-0.77,-48456604,-3.94,-43181923,-3.51,-5274681,-0.43,19106960,1.55,29349632,2.39
2023-07-24,BK0622,地热能,3159.83,0.37,-49325548,-3.25,750132,0.05,-50075680,-3.3,11875744,0.78,37449808,2.47
2023-07-21,BK0622,地热能,3148.15,-0.30000000000000004,-7218192,-0.7000000000000001,3390534,0.33,-10608726,-1.03,-6726384,-0.66,13944560,1.36
2023-07-20,BK0622,地热能,3157.75,-1.25,-50255547,-4.84,-20240582,-1.95,-30014965,-2.89,-32724672,-3.15,82980224,8.0
2023-07-19,BK0622,地热能,3197.78,-0.99,-96110291,-7.09,-24934649,-1.84,-71175642,-5.25,21424816,1.58,74685472,5.51
2023-07-17,BK0622,地热能,3186.27,0.53,-36928660,-2.87,51371785,3.99,-88300445,-6.85,-47883008,-3.72,84811664,6.58
2023-07-14,BK0622,地热能,3169.5,-0.54,-60490580,-6.53,-7117891,-0.77,-53372689,-5.76,549792,0.06,59940784,6.47
2023-07-13,BK0622,地热能,3186.72,0.31,-56194743,-5.25,-23837549,-2.23,-32357194,-3.02,16542160,1.55,39652576,3.71
2023-07-12,BK0622,地热能,3176.94,-0.97,-68737139,-5.31,-49922691,-3.86,-18814448,-1.45,12973632,1.0,55763488,4.31
2023-07-11,BK0622,地热能,3208.22,0.43,-38869304,-3.11,12175086,0.97,-51044390,-4.08,-7653648,-0.61,46522960,3.72
2023-07-10,BK0622,地热能,3194.58,0.63,-75578174,-5.0,-49177422,-3.25,-26400752,-1.75,19210384,1.27,56367792,3.73
2023-07-07,BK0622,地热能,3174.7,-0.22,1256852,0.13,-29256,0.0,1286108,0.13,-17131952,-1.71,15875120,1.59
2023-07-06,BK0622,地热能,3181.6,-0.13,-17761603,-1.8,-10584324,-1.07,-7177279,-0.73,-22745760,-2.3,40507376,4.1
2023-07-05,BK0622,地热能,3185.59,-0.71,-68784052,-6.31,-23668145,-2.17,-45115907,-4.14,-32725200,-3.0,101509264,9.31
2023-07-04,BK0622,地热能,3208.33,0.27,-79607023,-5.65,6074182,0.43,-85681205,-6.08,-23180608,-1.64,102787632,7.29
2023-07-03,BK0622,地热能,3199.61,0.64,-34008,0.0,-26133736,-1.49,26099728,1.48,-19428512,-1.1,19462528,1.11
2023-06-30,BK0622,地热能,3179.12,0.39,-65247842,-4.0,-46667362,-2.86,-18580480,-1.14,1473328,0.09,63774512,3.91
2023-06-29,BK0622,地热能,3166.74,1.16,1845297,0.1,14604529,0.8200000000000001,-12759232,-0.72,4317680,0.24,-6162976,-0.35000000000000003
2023-06-28,BK0622,地热能,3130.36,-0.28,-83755584,-5.03,-14006752,-0.84,-69748832,-4.19,47479648,2.85,36275920,2.18
2023-06-27,BK0622,地热能,3139.0,3.17,-22088084,-1.06,3656652,0.18,-25744736,-1.24,39523856,1.9,-17435792,-0.84
2023-06-26,BK0622,地热能,3042.66,-0.22,80639543,6.14,58751539,4.47,21888004,1.67,-65947792,-5.02,-14691744,-1.12
2023-06-21,BK0622,地热能,3049.31,-0.4,-2698900,-0.23,-1968756,-0.17,-730144,-0.06,9896992,0.8300000000000001,-7198096,-0.61
2023-06-20,BK0622,地热能,3061.65,0.1,-35522288,-2.98,-45656352,-3.83,10134064,0.85,-19733520,-1.65,55255808,4.63
2023-06-19,BK0622,地热能,3058.55,-0.84,-105829083,-10.34,-49584690,-4.84,-56244393,-5.49,24730416,2.42,81098672,7.92
2023-06-16,BK0622,地热能,3084.59,0.73,-35812839,-3.03,-17633261,-1.49,-18179578,-1.54,-15379888,-1.3,51192736,4.33
