日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-26,BK0641,智能穿戴,2322.35,-1.7000000000000002,-2472177776,-8.83,-1376161904,-4.91,-1096015872,-3.91,454306304,1.62,2017871616,7.21
2023-07-24,BK0641,智能穿戴,2328.91,0.11,-905749536,-3.14,-609333536,-2.11,-296416000,-1.03,221529344,0.77,684220160,2.37
2023-07-21,BK0641,智能穿戴,2326.37,-0.32,-539042992,-1.8,98061392,0.33,-637104384,-2.12,-198626816,-0.66,737669888,2.46
2023-07-20,BK0641,智能穿戴,2333.81,-2.16,-4085862672,-11.24,-2699868688,-7.43,-1385993984,-3.81,110778624,0.30000000000000004,3975084032,10.93
2023-07-19,BK0641,智能穿戴,2385.38,-0.42,-1358711888,-4.18,-1051203152,-3.23,-307508736,-0.95,-269100544,-0.8300000000000001,1627812352,5.0
2023-07-17,BK0641,智能穿戴,2394.67,0.08,-239050320,-0.7000000000000001,519335088,1.52,-758385408,-2.21,9584384,0.03,229466112,0.67
2023-07-14,BK0641,智能穿戴,2392.77,0.45,1575064320,3.55,1251244800,2.8200000000000003,323819520,0.73,-1153347584,-2.6,-421716736,-0.95
2023-07-13,BK0641,智能穿戴,2381.99,2.19,1160493824,2.65,1286162944,2.93,-125669120,-0.29,-543771648,-1.24,-616722176,-1.41
2023-07-12,BK0641,智能穿戴,2330.86,-2.01,-2726069248,-7.22,-1079233792,-2.86,-1646835456,-4.36,367123456,0.97,2358945792,6.24
2023-07-11,BK0641,智能穿戴,2378.56,1.94,1935818240,5.33,2009217792,5.53,-73399552,-0.2,-993688320,-2.73,-942129664,-2.59
2023-07-10,BK0641,智能穿戴,2333.2,-0.53,-1921214400,-7.01,-1296015040,-4.73,-625199360,-2.28,638640384,2.33,1282573824,4.68
2023-07-07,BK0641,智能穿戴,2345.57,-1.43,-740767744,-2.02,-185234432,-0.51,-555533312,-1.52,-334036992,-0.91,1074804736,2.93
2023-07-06,BK0641,智能穿戴,2379.53,0.72,166185472,0.44,444992768,1.17,-278807296,-0.73,-334224128,-0.88,168038912,0.44
2023-07-05,BK0641,智能穿戴,2362.55,-1.04,-2148262112,-6.33,-1266838496,-3.73,-881423616,-2.6,78894080,0.23,2069368064,6.1
2023-07-04,BK0641,智能穿戴,2387.47,1.35,375062528,0.94,634330368,1.6,-259267840,-0.65,-414714624,-1.04,39652096,0.1
2023-07-03,BK0641,智能穿戴,2355.65,-0.12,-257613312,-0.55,-139243264,-0.29,-118370048,-0.25,-539097088,-1.14,796710400,1.69
2023-06-30,BK0641,智能穿戴,2358.51,1.69,-100061952,-0.26,283313408,0.73,-383375360,-0.99,-399650048,-1.03,499712000,1.29
2023-06-29,BK0641,智能穿戴,2319.35,2.2,978508800,2.51,1322575872,3.4,-344067072,-0.88,-846172672,-2.17,-132336384,-0.34
2023-06-28,BK0641,智能穿戴,2269.33,-1.94,-2589476352,-6.48,-1542966528,-3.86,-1046509824,-2.62,448457216,1.12,2141018880,5.36
2023-06-27,BK0641,智能穿戴,2314.16,1.27,64055040,0.18,-10793728,-0.03,74848768,0.21,-215773440,-0.62,151718400,0.44
2023-06-26,BK0641,智能穿戴,2285.08,-2.7,-3120717056,-6.86,-2117164544,-4.65,-1003552512,-2.21,-87030528,-0.19,3207747328,7.05
2023-06-21,BK0641,智能穿戴,2348.52,-2.43,-4625034240,-8.9,-2744621568,-5.28,-1880412672,-3.62,283485184,0.55,4341549312,8.35
2023-06-20,BK0641,智能穿戴,2406.96,0.36,3120928000,4.83,3769055744,5.83,-648127744,-1.0,-2136177920,-3.3,-984750080,-1.52
2023-06-19,BK0641,智能穿戴,2398.25,1.1,-570674688,-1.16,-185383424,-0.38,-385291264,-0.78,73825280,0.15,496848896,1.01
2023-06-16,BK0641,智能穿戴,2372.08,1.04,1906925312,4.27,1828259328,4.09,78665984,0.18,-1027480832,-2.3,-879444736,-1.97
