日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-10,BK0665,电商概念,1830.34,0.21,-564633600,-1.08,60717568,0.12,-625351168,-1.19,-215960320,-0.41,780593920,1.49
2023-07-07,BK0665,电商概念,1826.53,-0.1,-3123334144,-5.87,-1782556416,-3.35,-1340777728,-2.52,585571072,1.1,2537762816,4.77
2023-07-06,BK0665,电商概念,1828.42,-0.27,-256243968,-0.53,790556928,1.62,-1046800896,-2.15,-384382208,-0.79,640625920,1.31
2023-07-05,BK0665,电商概念,1833.33,-0.97,-3198665472,-6.12,-1593032960,-3.05,-1605632512,-3.07,728300544,1.39,2470364672,4.73
2023-07-04,BK0665,电商概念,1851.21,0.15,-497029120,-0.89,326914048,0.59,-823943168,-1.47,-337832192,-0.6000000000000001,834861312,1.49
2023-07-03,BK0665,电商概念,1848.45,0.72,-113969408,-0.18,-61489920,-0.1,-52479488,-0.08,-214190080,-0.33,328159488,0.51
2023-06-30,BK0665,电商概念,1835.21,1.07,-1202774528,-2.08,-756634624,-1.31,-446139904,-0.77,268828416,0.46,933946112,1.61
2023-06-29,BK0665,电商概念,1815.76,0.51,-2306094848,-3.96,-783010816,-1.34,-1523084032,-2.62,220282368,0.38,2085812224,3.58
2023-06-28,BK0665,电商概念,1806.55,-0.39,-3189054208,-4.93,-1303200000,-2.01,-1885854208,-2.91,447562752,0.6900000000000001,2741491456,4.24
2023-06-27,BK0665,电商概念,1813.7,2.48,793124608,1.28,1201948672,1.93,-408824064,-0.66,-1113721344,-1.79,320596480,0.52
2023-06-26,BK0665,电商概念,1769.79,-2.31,-4034072064,-5.79,-2267574784,-3.25,-1766497280,-2.53,1822208,0.0,4032249600,5.79
2023-06-21,BK0665,电商概念,1811.64,-1.76,-5898565632,-7.53,-3814168064,-4.87,-2084397568,-2.66,556531712,0.71,5342033920,6.82
2023-06-20,BK0665,电商概念,1844.05,-0.8300000000000001,-1407134976,-1.63,-81954816,-0.09,-1325180160,-1.53,-622692864,-0.72,2029828096,2.35
2023-06-19,BK0665,电商概念,1859.52,-0.81,-4649504256,-5.09,-2347179520,-2.5700000000000003,-2302324736,-2.52,745203456,0.8200000000000001,3904301056,4.27
2023-06-16,BK0665,电商概念,1874.65,0.22,2542972672,2.88,3005690368,3.4,-462717696,-0.52,-2034038016,-2.3,-508934912,-0.58
