日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-13,BK0520,社保重仓,10805.24,0.88,-108911551,-2.95,-37255647,-1.01,-71655904,-1.94,72220048,1.96,36691504,0.99
2023-07-12,BK0520,社保重仓,10710.6,-1.37,-124343235,-3.28,-106946963,-2.8200000000000003,-17396272,-0.46,107044448,2.8200000000000003,17298784,0.46
2023-07-11,BK0520,社保重仓,10859.71,1.09,42022618,1.03,9626314,0.24,32396304,0.79,51348688,1.26,-93371296,-2.29
2023-07-10,BK0520,社保重仓,10743.05,-0.05,-43629274,-1.27,-28385706,-0.8300000000000001,-15243568,-0.44,4333616,0.13,39295664,1.14
2023-07-07,BK0520,社保重仓,10748.32,-0.27,-243380274,-6.42,-134783698,-3.55,-108596576,-2.86,21698736,0.5700000000000001,221681536,5.84
2023-07-06,BK0520,社保重仓,10777.69,-0.76,-152791855,-4.16,-75432479,-2.05,-77359376,-2.11,16295280,0.44,136496576,3.71
2023-07-05,BK0520,社保重仓,10860.1,-0.9,-91832555,-2.32,-71037915,-1.79,-20794640,-0.53,61609376,1.56,30223184,0.76
2023-07-04,BK0520,社保重仓,10959.09,0.27,-80547949,-1.85,-47440621,-1.09,-33107328,-0.76,118481120,2.73,-37933168,-0.87
2023-07-03,BK0520,社保重仓,10929.6,0.27,-23398416,-0.47,74473088,1.49,-97871504,-1.95,57709968,1.15,-34311552,-0.68
2023-06-30,BK0520,社保重仓,10900.67,1.74,14812106,0.28,-78953142,-1.51,93765248,1.8,-37788288,-0.72,22976176,0.44
2023-06-29,BK0520,社保重仓,10713.86,0.33,-119303076,-3.19,-50191588,-1.34,-69111488,-1.85,52810240,1.41,66492832,1.78
2023-06-28,BK0520,社保重仓,10678.56,-0.32,-240313812,-5.8100000000000005,-113024164,-2.73,-127289648,-3.08,-15504464,-0.37,255818272,6.19
2023-06-27,BK0520,社保重仓,10713.28,1.77,-2615262,-0.07,39630258,1.0,-42245520,-1.07,47548448,1.2,-44933168,-1.13
2023-06-26,BK0520,社保重仓,10527.19,-1.66,-306176914,-6.77,-91875538,-2.03,-214301376,-4.74,10056176,0.22,296120736,6.55
2023-06-21,BK0520,社保重仓,10705.27,-1.7000000000000002,-240041920,-5.33,-81384688,-1.81,-158657232,-3.52,-9598848,-0.21,249640768,5.55
2023-06-20,BK0520,社保重仓,10890.61,-0.58,-194105364,-4.41,-79484532,-1.81,-114620832,-2.6,49141248,1.12,144964112,3.29
2023-06-19,BK0520,社保重仓,10953.98,-0.25,-85507488,-1.6,-22719200,-0.43,-62788288,-1.18,22065440,0.41,63442048,1.19
2023-06-16,BK0520,社保重仓,10981.56,0.7000000000000001,4526213,0.1,-38647275,-0.8300000000000001,43173488,0.93,-134591168,-2.9,130064960,2.8
