日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-09,BK1129,数字水印,953.49,-1.93,-567340720,-11.76,-269610448,-5.59,-297730272,-6.17,39626496,0.8200000000000001,527714240,10.94
2023-08-08,BK1129,数字水印,972.27,-0.09,-108251408,-2.16,-18352288,-0.37,-89899120,-1.79,-145974416,-2.91,254225840,5.07
2023-08-07,BK1129,数字水印,973.14,-0.17,-313302800,-5.57,-137609056,-2.44,-175693744,-3.12,-38649936,-0.6900000000000001,351952720,6.25
2023-08-04,BK1129,数字水印,974.75,2.53,172433200,2.19,208448416,2.65,-36015216,-0.46,-69893648,-0.89,-102539536,-1.3
2023-08-03,BK1129,数字水印,950.69,-0.16,-458113600,-6.8,-284501856,-4.22,-173611744,-2.58,141972224,2.11,316141360,4.69
2023-08-02,BK1129,数字水印,952.24,1.42,409530304,7.61,503329232,9.35,-93798928,-1.74,-210885808,-3.92,-198644512,-3.69
2023-08-01,BK1129,数字水印,938.95,-0.21,-393516112,-8.57,-202608048,-4.41,-190908064,-4.16,162234352,3.53,231281760,5.04
2023-07-31,BK1129,数字水印,940.94,1.12,248433520,7.64,315600128,9.71,-67166608,-2.07,-108390576,-3.33,-140042944,-4.31
2023-07-28,BK1129,数字水印,930.51,0.63,-282871392,-6.88,-74675008,-1.82,-208196384,-5.06,-101963584,-2.48,384834976,9.36
2023-07-27,BK1129,数字水印,924.7,-1.59,-552144560,-12.67,-316771184,-7.27,-235373376,-5.4,14130576,0.32,538013968,12.35
2023-07-26,BK1129,数字水印,939.63,-2.16,-551642304,-9.46,-271142944,-4.65,-280499360,-4.8100000000000005,107669664,1.85,443972640,7.61
2023-07-24,BK1129,数字水印,941.88,1.86,582670176,12.43,576603376,12.3,6066800,0.13,-259003648,-5.52,-323666528,-6.9
2023-07-21,BK1129,数字水印,924.69,-0.28,-29532761,-0.91,28614759,0.89,-58147520,-1.8,-37361312,-1.16,66894064,2.07
2023-07-20,BK1129,数字水印,927.28,-2.56,-500093332,-11.67,-210852484,-4.92,-289240848,-6.75,75236784,1.76,424856544,9.91
2023-07-19,BK1129,数字水印,951.63,0.8200000000000001,133808512,2.6,72601840,1.41,61206672,1.19,15276912,0.30000000000000004,-149085408,-2.9
2023-07-17,BK1129,数字水印,958.91,-0.63,-401258736,-7.66,-174766224,-3.34,-226492512,-4.32,43381504,0.8300000000000001,357877248,6.83
2023-07-14,BK1129,数字水印,964.99,1.98,-67398128,-1.01,-34465056,-0.52,-32933072,-0.49,-69815408,-1.04,137213552,2.05
2023-07-13,BK1129,数字水印,946.22,0.93,-118045456,-1.91,-81825712,-1.33,-36219744,-0.59,25377248,0.41,92668208,1.5
2023-07-12,BK1129,数字水印,937.5,-3.48,-828904800,-13.28,-415041536,-6.65,-413863264,-6.63,10884896,0.17,818019920,13.11
2023-07-11,BK1129,数字水印,971.3,0.33,-249414712,-6.06,-148703800,-3.61,-100710912,-2.45,-17282960,-0.42,266697664,6.48
2023-07-10,BK1129,数字水印,968.06,-0.8200000000000001,-271566752,-5.26,-169135968,-3.28,-102430784,-1.99,-51019712,-0.99,322586464,6.25
2023-07-07,BK1129,数字水印,976.08,-1.91,-486962640,-8.34,-341466032,-5.85,-145496608,-2.49,-26599408,-0.46,513562048,8.79
2023-07-06,BK1129,数字水印,995.1,0.38,110336256,1.89,66587056,1.14,43749200,0.75,-71318992,-1.22,-39017264,-0.67
2023-07-05,BK1129,数字水印,991.32,-2.01,-384887792,-8.02,-178946224,-3.73,-205941568,-4.29,-64177488,-1.34,449065296,9.35
2023-07-04,BK1129,数字水印,1011.7,0.5700000000000001,-221986400,-3.68,-128545584,-2.13,-93440816,-1.55,40360816,0.67,181625584,3.01
2023-07-03,BK1129,数字水印,1005.94,0.87,-43084400,-0.66,66129040,1.01,-109213440,-1.67,106264704,1.62,-63180288,-0.97
2023-06-30,BK1129,数字水印,997.3,0.71,-130015200,-2.25,-136377328,-2.36,6362128,0.11,26952704,0.47,103062496,1.78
2023-06-29,BK1129,数字水印,990.23,1.08,-221727664,-3.67,-110275120,-1.82,-111452544,-1.84,94577152,1.56,127150496,2.1
2023-06-28,BK1129,数字水印,979.64,-2.19,-637409488,-7.99,-280050272,-3.51,-357359216,-4.48,163860640,2.06,473548832,5.94
2023-06-27,BK1129,数字水印,1001.54,1.92,-293210576,-4.97,-206494192,-3.5,-86716384,-1.47,86719424,1.47,206491152,3.5
2023-06-26,BK1129,数字水印,982.71,-5.36,-811531024,-11.06,-348903952,-4.76,-462627072,-6.31,4783952,0.07,806747072,11.0
2023-06-21,BK1129,数字水印,1038.35,-3.58,-966743952,-10.17,-610785888,-6.43,-355958064,-3.75,197955456,2.08,768788496,8.09
2023-06-20,BK1129,数字水印,1076.9,-0.01,-281623472,-2.83,-2635632,-0.03,-278987840,-2.8,32439440,0.33,249184016,2.5
2023-06-19,BK1129,数字水印,1076.96,0.03,-734264736,-7.73,-387894976,-4.08,-346369760,-3.65,86697856,0.91,647566864,6.82
2023-06-16,BK1129,数字水印,1076.69,0.85,-336534464,-3.28,-256023104,-2.5,-80511360,-0.79,59571280,0.58,276963168,2.7
