日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-07,BK0523,新材料,23183.35,-0.91,-2741070032,-5.91,-1421858512,-3.07,-1319211520,-2.85,79704832,0.17,2663936000,5.75
2023-07-06,BK0523,新材料,23395.23,-0.32,-2309237760,-3.95,-697315072,-1.19,-1611922688,-2.76,60796928,0.1,2248344576,3.85
2023-07-05,BK0523,新材料,23469.72,0.14,198476288,0.31,350399488,0.54,-151923200,-0.24,-192317440,-0.30000000000000004,-3141376,0.0
2023-07-04,BK0523,新材料,23437.81,0.43,-1765060816,-3.46,-672350416,-1.32,-1092710400,-2.14,90705152,0.18,1675069696,3.28
2023-07-03,BK0523,新材料,23337.68,0.48,-545881088,-0.95,-316984576,-0.55,-228896512,-0.4,-660254976,-1.15,1201354752,2.1
2023-06-30,BK0523,新材料,23226.97,1.84,565293056,0.97,682674688,1.18,-117381632,-0.2,-424298752,-0.73,-153535744,-0.26
2023-06-29,BK0523,新材料,22808.17,0.96,-595280320,-1.37,-180429760,-0.41,-414850560,-0.95,-218928640,-0.5,815196928,1.87
2023-06-28,BK0523,新材料,22591.63,-0.08,-1389521056,-3.33,-580226464,-1.39,-809294592,-1.94,274738432,0.66,1122111232,2.69
2023-06-27,BK0523,新材料,22610.03,2.01,231632240,0.55,170669424,0.4,60962816,0.14,-238016512,-0.56,-4711424,-0.01
2023-06-26,BK0523,新材料,22164.55,-0.75,-1293278160,-2.77,-356770256,-0.76,-936507904,-2.01,-430650624,-0.92,1731205632,3.71
2023-06-21,BK0523,新材料,22331.16,-1.19,-2898126640,-6.19,-1837373232,-3.92,-1060753408,-2.27,268436480,0.5700000000000001,2641060608,5.64
2023-06-20,BK0523,新材料,22600.84,-0.19,-2503852032,-4.82,-1277925888,-2.46,-1225926144,-2.36,355419904,0.68,2156461312,4.15
2023-06-19,BK0523,新材料,22644.75,-0.32,-2639746048,-4.8,-1392240384,-2.53,-1247505664,-2.27,778454016,1.42,1848065536,3.36
2023-06-16,BK0523,新材料,22717.48,0.61,-187932928,-0.36,103979264,0.2,-291912192,-0.56,-229140736,-0.44,413551360,0.79
